,Model,Position,Weight,Pressure,Temperature
653,MPL,10,0,140521.00, 22.00
654,MPL,10,0,140520.75, 22.00
655,MPL,10,0,140522.75, 22.00
656,MPL,10,0,140523.75, 22.00
657,MPL,10,0,140527.00, 22.00
658,MPL,10,0,140520.00, 22.00
659,MPL,10,0,140525.00, 22.00
660,MPL,10,0,140526.75, 22.00
661,MPL,10,0,140526.25, 22.00
662,MPL,10,0,140521.25, 22.00
663,MPL,10,0,140527.25, 22.00
664,MPL,10,0,140527.75, 22.00
665,MPL,10,0,140524.75, 22.00
666,MPL,10,0,140529.50, 22.00
667,MPL,10,0,140528.25, 22.00
668,MPL,10,0,140523.75, 22.00
669,MPL,10,0,140524.50, 22.00
670,MPL,10,0,140529.75, 22.00
671,MPL,10,0,140526.25, 22.00
672,MPL,10,0,140532.00, 22.00
673,MPL,10,0,140525.00, 22.00
674,MPL,10,0,140525.75, 22.00
675,MPL,10,0,140526.25, 22.00
676,MPL,10,0,140529.75, 22.00
677,MPL,10,0,140527.75, 22.00
678,MPL,10,0,140527.75, 22.00
679,MPL,10,0,140530.00, 22.00
680,MPL,10,0,140527.50, 22.00
681,MPL,10,0,140531.25, 22.00
682,MPL,10,0,140528.75, 22.00
683,MPL,10,0,140527.25, 22.00
684,MPL,10,0,140531.25, 22.00
685,MPL,10,0,140529.25, 22.00
686,MPL,10,0,140527.50, 22.00
687,MPL,10,0,140527.00, 22.06
688,MPL,10,0,140533.25, 22.00
689,MPL,10,0,140526.25, 22.00
690,MPL,10,0,140528.75, 22.00
691,MPL,10,0,140531.00, 22.06
692,MPL,10,0,140533.75, 22.00
693,MPL,10,0,140529.75, 22.06
694,MPL,10,0,140535.25, 22.00
